cell_id,dataset,celltype,leiden,leiden_named,n_proteins_identified,intensity_max,intensity_min_detected,intensity_median,dynamic_range_log10
[370] DCT_1cell_WISHDIA_P1_0379.htrms.PG.Quantity,dct758,DCT1,6,DCT1,495,24383.857421875,66.87945556640625,259.01922607421875,2.5618096811832625
[706] DCT_1cell_WISHDIA_P2_0331.htrms.PG.Quantity,dct758,DCT1,13,DCT1,575,37541.51953125,51.54440689086914,223.72933959960938,2.8623303004859597
[644] DCT_1cell_WISHDIA_P2_0269.htrms.PG.Quantity,dct758,DCT2,26,DCT1,996,20011.53125,34.81998062133789,150.8418960571289,2.759451796339163
[545] DCT_1cell_WISHDIA_P2_0170.htrms.PG.Quantity,dct758,DCT1,28,ProLIF,891,23342.484375,37.723182678222656,170.44114685058594,2.791538750041682
[737] DCT_1cell_WISHDIA_P2_0362.htrms.PG.Quantity,dct758,DCT1,15,DCT1,312,32622.71484375,73.33808135986328,370.93260192871094,2.6481905560045815
[276] DCT_1cell_WISHDIA_P1_0280.htrms.PG.Quantity,dct758,DCT2,5,DCT1,391,38502.5390625,59.89559555053711,284.4346923828125,2.808094482620067
[632] DCT_1cell_WISHDIA_P2_0257.htrms.PG.Quantity,dct758,DCT1,3,DCT1,283,32358.013671875,66.58507537841797,284.4134521484375,2.686604958440003
[75] DCT_1cell_WISHDIA_P1_0079.htrms.PG.Quantity,dct758,ProLIF,4,DCT1,83,31635.564453125,186.61386108398438,822.4527587890625,2.2292316890815425
[618] DCT_1cell_WISHDIA_P2_0243.htrms.PG.Quantity,dct758,ProLIF,26,DCT1,993,22275.1328125,33.90505599975586,151.1246795654297,2.8175558361172675
[512] DCT_1cell_WISHDIA_P2_0137.htrms.PG.Quantity,dct758,ProLIF,26,DCT1,844,31247.876953125,42.52836608886719,168.39620971679688,2.866141818062898
[116] DCT_1cell_WISHDIA_P1_0120.htrms.PG.Quantity,dct758,ProLIF,8,ProLIF,810,29036.7890625,42.594940185546875,207.91156005859375,2.8335905769434917
[711] DCT_1cell_WISHDIA_P2_0336.htrms.PG.Quantity,dct758,DCT2,3,DCT1,311,32271.494140625,86.25474548339844,313.80615234375,2.573036075293521
[502] DCT_1cell_WISHDIA_P2_0127.htrms.PG.Quantity,dct758,DCT2,14,DCT1,455,41277.3359375,60.27766418457031,227.2208709716797,2.8355552452588473
[55] DCT_1cell_WISHDIA_P1_0059.htrms.PG.Quantity,dct758,DCT1,4,DCT1,118,35145.4453125,241.72006225585938,924.6875915527344,2.1625563530116056
[104] DCT_1cell_WISHDIA_P1_0108.htrms.PG.Quantity,dct758,DCT2,16,DCT2,1122,32837.46875,30.237516403198242,133.25322723388672,3.0358235555296744
[735] DCT_1cell_WISHDIA_P2_0360.htrms.PG.Quantity,dct758,DCT2,7,DCT2,824,34877.8515625,44.09767150878906,180.3368682861328,2.8981340670160853
[343] DCT_1cell_WISHDIA_P1_0347.htrms.PG.Quantity,dct758,ProLIF,9,ProLIF,710,34821.65625,53.97080993652344,213.3849334716797,2.809690488420923
[199] DCT_1cell_WISHDIA_P1_0203.htrms.PG.Quantity,dct758,DCT1,5,DCT1,440,44139.56640625,74.6581802368164,327.06407165527344,2.77175066270016
[278] DCT_1cell_WISHDIA_P1_0282.htrms.PG.Quantity,dct758,ProLIF,20,ProLIF,756,29393.705078125,48.682132720947266,195.44182586669922,2.7808847363362714
[635] DCT_1cell_WISHDIA_P2_0260.htrms.PG.Quantity,dct758,DCT1,17,DCT1,719,36101.79296875,41.64537048339844,178.3245086669922,2.9379620413681526
[67] DCT_1cell_WISHDIA_P1_0071.htrms.PG.Quantity,dct758,ProLIF,9,ProLIF,815,28636.103515625,44.01839065551758,197.558349609375,2.8132797632797835
[175] DCT_1cell_WISHDIA_P1_0179.htrms.PG.Quantity,dct758,ProLIF,12,DCT1,525,23621.970703125,62.05359649658203,252.7398681640625,2.5805491691820723
